taglank,plats,plandatumtid,train_type
202404104125,Floda,2024-04-10 20:20:00,GT
202404104125,Norsesund västra,2024-04-10 20:24:00,GT
202404104125,Norsesund,2024-04-10 20:24:00,GT
202404104125,Västra Bodarna,2024-04-10 20:26:00,GT
202404104125,Bryngenäs,2024-04-10 20:27:00,GT
202404104125,Alingsås,2024-04-10 20:31:00,GT
202404104125,Algutsgården,2024-04-10 20:38:00,GT
202404104125,Vårgårda,2024-04-10 20:44:00,GT
202404104125,Herrljunga västra,2024-04-10 21:10:00,GT
202404104125,Herrljunga central,2024-04-10 21:13:00,GT
202404104125,Källeryd,2024-04-10 21:19:00,GT
202404104125,Floby,2024-04-10 21:24:00,GT
202404104125,Falköpings c,2024-04-10 21:34:00,GT
202404104125,Falköpings c,2024-04-10 22:21:00,GT
202404104125,Falköpings norra,2024-04-10 22:24:00,GT
202404104125,Stenstorp,2024-04-10 22:31:00,GT
202404104125,Regumatorp,2024-04-10 22:35:00,GT
202404104125,Skövde c,2024-04-10 22:40:00,GT
202404104125,Väring,2024-04-10 22:49:00,GT
202404104125,Moholm,2024-04-10 22:56:00,GT
202404104125,Töreboda,2024-04-10 23:03:00,GT
202404104125,Slätte,2024-04-10 23:07:00,GT
202404104125,Älgarås,2024-04-10 23:11:00,GT
